team,spread,o/u,season_year,week
JAC,2.5,39.5,2013,1
CHI,-3.5,45.0,2013,1
CLE,0.0,39.5,2013,1
CAR,3.5,45.0,2013,1
DET,-3.0,47.0,2013,1
IND,-7.0,48.5,2013,1
STL,-6.0,40.0,2013,1
SF,-5.5,50.0,2013,1
DAL,-3.0,49.0,2013,1
WAS,-5.0,50.5,2013,1
SD,3.0,46.0,2013,1
NE,-12.0,44.0,2013,2
BAL,-6.5,43.0,2013,2
IND,-3.0,42.5,2013,2
BUF,3.0,44.5,2013,2
ATL,-6.5,47.0,2013,2
CHI,-6.5,41.0,2013,2
TB,3.0,46.5,2013,2
ARI,0.0,47.0,2013,2
OAK,-6.0,39.5,2013,2
SEA,-3.0,45.0,2013,2
NYG,5.0,54.5,2013,2
PHI,-7.5,54.5,2013,2
KC,-3.0,46.5,2013,2
HOU,-9.5,43.0,2013,2
GB,-7.5,49.5,2013,2
CIN,-6.5,40.5,2013,2
PHI,-3.0,50.0,2013,3
TEN,-3.0,44.0,2013,3
BAL,2.0,44.5,2013,3
DAL,-3.5,46.5,2013,3
MIA,-1.0,44.0,2013,3
NYJ,-3.0,39.0,2013,3
MIN,-3.5,41.0,2013,3
WAS,0.0,48.5,2013,3
CAR,-2.0,46.0,2013,3
NE,-7.0,46.0,2013,3
NO,-9.0,48.0,2013,3
SF,-10.0,46.0,2013,3
SEA,-19.5,40.5,2013,3
CIN,2.0,48.0,2013,3
PIT,2.5,40.0,2013,3
DEN,-14.5,49.0,2013,3
STL,3.5,43.0,2013,4
CLE,5.0,41.5,2013,4
JAC,9.5,42.0,2013,4
HOU,3.0,44.0,2013,4
TB,-2.5,40.5,2013,4
KC,-4.0,44.0,2013,4
BUF,3.5,43.5,2013,4
SD,1.0,45.5,2013,4
ATL,1.0,49.0,2013,4
TEN,-4.5,39.0,2013,4
MIN,1.0,42.0,2013,4
DET,-3.0,47.5,2013,4
OAK,3.0,43.5,2013,4
DEN,-11.0,57.5,2013,4
NO,-5.5,47.0,2013,4
CLE,-3.5,41.0,2013,5
GB,-10.0,53.5,2013,5
OAK,4.5,46.0,2013,5
DAL,7.5,56.5,2013,5
NYG,1.0,53.0,2013,5
STL,-10.5,41.5,2013,5
IND,3.0,43.0,2013,5
ARI,3.0,42.0,2013,5
SF,-5.5,43.0,2013,5
CHI,-1.0,51.0,2013,5
MIA,-3.0,43.5,2013,5
TEN,2.5,38.0,2013,5
CIN,2.0,45.5,2013,5
ATL,-9.0,43.5,2013,5
CHI,-8.5,47.0,2013,6
BAL,3.0,48.5,2013,6
SEA,-13.0,40.5,2013,6
MIN,-2.0,44.0,2013,6
DAL,-5.5,52.0,2013,6
NYJ,1.5,41.0,2013,6
DEN,-27.0,53.0,2013,6
CLE,2.5,43.5,2013,6
NE,-2.0,50.5,2013,6
SF,-10.0,40.5,2013,6
KC,-7.5,41.0,2013,6
TB,2.5,45.5,2013,6
HOU,-7.5,42.5,2013,6
BUF,6.0,41.5,2013,6
SD,1.0,50.0,2013,6
ARI,5.0,40.5,2013,7
NYJ,3.5,43.5,2013,7
KC,-6.0,39.0,2013,7
DET,-2.0,46.5,2013,7
WAS,1.0,48.5,2013,7
PHI,-3.0,55.5,2013,7
CAR,-7.0,42.5,2013,7
ATL,-6.5,43.0,2013,7
TEN,3.5,40.5,2013,7
GB,-9.5,45.0,2013,7
PIT,-2.5,41.0,2013,7
IND,6.0,55.0,2013,7
JAC,7.5,44.5,2013,7
MIA,-6.5,44.0,2013,7
NYG,-4.5,47.5,2013,7
TB,7.0,40.0,2013,8
OAK,2.0,40.5,2013,8
CIN,-5.0,41.5,2013,8
NE,-6.0,45.0,2013,8
NO,-10.5,48.5,2013,8
KC,-7.0,38.5,2013,8
PHI,-5.5,50.0,2013,8
DET,-3.0,51.0,2013,8
JAC,14.5,40.0,2013,8
DEN,-11.0,58.0,2013,8
ARI,-2.5,45.5,2013,8
MIN,7.5,47.0,2013,8
STL,13.0,43.0,2013,8
MIA,3.0,43.0,2013,9
CLE,1.5,41.5,2013,9
SEA,-15.5,41.0,2013,9
OAK,0.0,45.0,2013,9
WAS,-2.0,49.5,2013,9
BUF,4.5,40.5,2013,9
STL,3.5,40.5,2013,9
NYJ,6.0,45.5,2013,9
DAL,-9.0,50.5,2013,9
CAR,-9.0,47.0,2013,9
NE,-5.5,42.5,2013,9
HOU,1.0,43.5,2013,9
GB,-10.5,51.0,2013,9
MIN,2.5,49.0,2013,10
TEN,-13.0,41.5,2013,10
NYG,-7.0,41.5,2013,10
ATL,4.5,45.0,2013,10
BAL,2.0,44.5,2013,10
SF,-6.0,43.0,2013,10
SD,7.0,58.0,2013,10
NO,-6.5,54.0,2013,10
IND,-9.5,44.0,2013,10
ARI,-3.0,41.5,2013,10
PIT,-3.0,44.0,2013,10
GB,-1.0,47.0,2013,10
CHI,1.0,52.0,2013,10
TB,2.0,41.0,2013,10
TEN,3.0,42.5,2013,11
JAC,7.5,41.0,2013,11
NO,-3.5,48.0,2013,11
NYG,-4.0,41.0,2013,11
CHI,-3.0,42.5,2013,11
BUF,-1.0,40.5,2013,11
PIT,3.0,45.0,2013,11
PHI,-4.5,53.0,2013,11
CIN,-5.0,40.5,2013,11
SEA,-12.0,45.5,2013,11
TB,-2.5,44.0,2013,11
HOU,-10.0,41.0,2013,11
DEN,-7.5,49.0,2013,11
MIA,1.0,45.5,2013,11
CAR,-3.0,47.0,2013,11
ATL,8.5,53.0,2013,12
OAK,-1.0,41.0,2013,12
BAL,-3.5,39.5,2013,12
STL,-1.0,45.5,2013,12
CLE,-1.0,40.5,2013,12
HOU,-10.0,43.5,2013,12
DET,-9.0,48.5,2013,12
KC,-4.5,41.5,2013,12
MIA,4.0,41.0,2013,12
GB,-4.0,43.5,2013,12
NE,2.5,54.0,2013,12
ARI,-1.0,45.0,2013,12
NYG,-3.0,44.0,2013,12
WAS,4.0,47.0,2013,12
DAL,-9.5,46.5,2013,13
BAL,-3.0,40.5,2013,13
DET,-6.0,49.5,2013,13
IND,-4.0,44.5,2013,13
CAR,-8.0,41.5,2013,13
PHI,-3.5,49.0,2013,13
NYJ,-1.0,38.5,2013,13
BUF,-3.5,46.0,2013,13
SD,0.0,48.0,2013,13
CLE,-7.0,40.5,2013,13
KC,3.0,49.0,2013,13
MIN,-1.0,48.5,2013,13
HOU,7.0,49.5,2013,13
SF,-9.5,43.0,2013,13
WAS,1.5,46.0,2013,13
SEA,-6.0,46.5,2013,13
JAC,3.0,43.5,2013,14
SD,-3.0,47.5,2013,14
WAS,3.0,45.0,2013,14
BAL,-7.0,43.0,2013,14
NYJ,-3.0,40.5,2013,14
CIN,-6.0,44.5,2013,14
PHI,-2.5,54.0,2013,14
PIT,-3.0,41.5,2013,14
TB,-3.0,43.0,2013,14
DEN,-12.0,50.0,2013,14
ARI,-7.0,42.5,2013,14
SF,-2.5,41.0,2013,14
NO,-3.0,45.5,2013,14
NE,-11.0,46.0,2013,14
GB,-3.5,44.5,2013,14
CHI,-1.0,49.0,2013,14
DEN,-10.5,54.0,2013,15
ATL,-4.5,51.0,2013,15
TB,4.5,42.0,2013,15
TEN,3.0,42.0,2013,15
NYG,7.0,41.5,2013,15
IND,-6.0,46.0,2013,15
JAC,2.5,44.0,2013,15
MIA,2.5,46.0,2013,15
MIN,4.0,52.0,2013,15
OAK,3.5,41.0,2013,15
PIT,3.0,40.5,2013,15
STL,5.5,47.0,2013,15
CAR,-11.0,41.0,2013,15
CLE,2.0,44.5,2013,15
DAL,-7.0,48.0,2013,15
DET,-6.0,48.0,2013,15
BUF,2.5,43.0,2013,16
CAR,-3.0,46.5,2013,16
STL,-6.0,42.5,2013,16
PHI,-3.0,56.0,2013,16
NYJ,-1.5,40.5,2013,16
HOU,10.0,52.0,2013,16
JAC,5.5,44.0,2013,16
SEA,-10.0,43.5,2013,16
SD,-10.0,50.5,2013,16
KC,-6.5,44.0,2013,16
WAS,3.0,53.0,2013,16
CIN,-7.5,48.0,2013,16
DET,-9.5,49.0,2013,16
