season_year,season_type,week,team,forced_fumble,fg_block,fumble_rec,fumble_rec_tds,kicking_rec_tds,kickret_tds,puntret_tds,puntret_tds.1,ints,int_tds,misc_tds,punt_block,safety,sack,xp_block,team_score,opp_score,opp_team,h/a,DK points
2016,Preseason,2,SD,0,0,0,0,0,0,0,0,2,1,0,0,0,1.0,0,19,3,ARI,1,18.0
2016,Regular,2,CAR,1,0,1,1,0,0,0,0,2,0,0,0,0,2.0,0,46,27,SF,1,14.0
2016,Regular,2,GB,2,0,1,0,0,0,0,0,0,0,0,0,0,4.0,0,14,17,MIN,0,7.0
2016,Preseason,2,CIN,1,0,0,0,0,0,0,0,2,1,0,0,0,1.0,0,30,14,DET,0,12.0
2016,Regular,2,PHI,2,0,2,0,0,0,0,0,1,0,0,0,0,3.0,0,29,14,CHI,0,10.0
2016,Preseason,2,TB,0,0,0,0,0,0,0,0,4,0,0,0,0,1.0,0,27,21,JAC,0,9.0
2016,Regular,2,OAK,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,28,35,ATL,1,-1.0
2016,Regular,2,DET,1,0,0,0,0,0,0,0,1,0,0,0,1,3.0,0,15,16,TEN,1,8.0
2016,Preseason,2,PHI,0,0,0,0,0,0,0,0,4,1,0,0,0,4.0,0,17,0,PIT,0,28.0
2016,Preseason,2,BAL,1,0,1,0,0,0,0,0,0,0,0,0,0,2.0,0,19,18,IND,0,5.0
2016,Regular,2,WAS,2,0,1,0,0,0,0,0,0,0,0,0,0,4.0,0,23,27,DAL,1,6.0
2016,Regular,2,NYG,0,1,0,0,0,0,0,0,0,0,1,0,0,2.0,0,16,13,NO,1,14.0
2016,Regular,2,PIT,1,0,2,0,0,0,0,0,0,0,0,0,0,1.0,0,24,16,CIN,1,6.0
2016,Preseason,2,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,11,18,MIN,1,2.0
2016,Preseason,2,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,14,30,CIN,1,-1.0
2016,Preseason,2,BUF,2,0,2,0,0,0,0,0,2,0,0,0,0,3.0,0,21,0,NYG,1,21.0
2016,Preseason,2,JAC,1,0,0,0,0,0,0,0,2,1,0,0,0,1.0,0,21,27,TB,1,11.0
2016,Preseason,2,NYJ,0,0,0,0,0,0,0,0,1,0,0,0,0,2.0,0,18,22,WAS,0,4.0
2016,Preseason,2,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,24,13,CLE,0,6.0
2016,Regular,2,DAL,0,0,0,0,0,0,0,0,1,0,0,0,0,2.0,0,27,23,WAS,0,4.0
2016,Regular,2,CLE,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,0,20,25,BAL,1,4.0
2016,Preseason,2,NO,0,0,1,0,0,0,0,0,1,0,0,0,0,3.0,0,9,16,HOU,0,8.0
2016,Preseason,2,CHI,1,0,1,0,0,0,0,0,0,0,0,0,0,3.0,0,22,23,NE,0,5.0
2016,Regular,3,ATL,0,0,1,0,0,0,0,0,1,1,0,0,0,2.0,0,45,32,NO,0,11.0
2016,Preseason,3,TB,1,0,0,0,0,0,1,1,0,0,0,0,0,8.0,0,30,13,CLE,1,18.0
2016,Regular,3,BAL,0,1,0,0,0,0,0,0,3,0,0,0,0,4.0,0,19,17,JAC,0,13.0
2016,Regular,3,HOU,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,27,NE,0,1.0
2016,Preseason,3,UNK,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,9,17,DEN,0,3.0
2016,Regular,3,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,3,34,PHI,0,-1.0
2016,Preseason,3,KC,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,23,7,CHI,0,6.0
2016,Preseason,3,BAL,1,0,0,0,0,0,0,0,1,0,0,0,0,4.0,0,30,9,DET,1,10.0
2016,Regular,3,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,27,34,GB,0,1.0
2016,Preseason,3,DET,1,0,1,0,0,0,0,0,0,0,0,0,0,2.0,0,9,30,BAL,0,3.0
2016,Regular,3,GB,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0,0,34,27,DET,1,5.0
2016,Regular,3,DAL,2,0,2,0,0,0,0,0,0,0,0,0,0,0.0,0,31,17,CHI,1,5.0
2016,Regular,3,MIN,0,0,0,0,0,0,1,1,3,0,0,0,1,8.0,0,22,10,CAR,0,26.0
2016,Preseason,3,CIN,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,21,26,JAC,0,2.0
2016,Regular,3,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,10,22,MIN,1,2.0
2016,Preseason,3,NO,1,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0,14,27,PIT,1,3.0
2016,Preseason,3,DEN,1,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,17,9,UNK,1,10.0
2016,Preseason,3,OAK,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,14,27,TEN,1,1.0
