,season_year,season_type,week,home_team,home_score,away_team,away_score,team,forced_fumble,fg_block,fumble_rec,fumble_rec_tds,kicking_rec_tds,kickret_tds,puntret_tds,puntret_tds,ints,int_tds,misc_tds,punt_block,safety,sack,xp_block
95,2016,Regular,2,LA,9,SEA,3,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0
96,2016,Regular,2,DET,15,TEN,16,TEN,0,0,0,0,0,0,0,0,1,0,0,0,0,4.0,0
97,2016,Preseason,2,HOU,16,NO,9,HOU,2,0,1,0,0,0,0,0,2,0,0,0,0,2.0,0
98,2016,Regular,2,DEN,34,IND,20,IND,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0
99,2016,Regular,2,NYG,16,NO,13,NO,3,0,3,0,0,0,0,0,0,0,0,0,0,2.0,0
100,2016,Preseason,2,DET,14,CIN,30,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
101,2016,Preseason,2,TEN,16,CAR,26,CAR,2,0,1,0,0,0,0,0,2,0,0,0,0,2.0,0
102,2016,Preseason,2,DET,14,CIN,30,CIN,1,0,0,0,0,0,0,0,2,1,0,0,0,1.0,0
103,2016,Preseason,2,GB,20,OAK,12,GB,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,0
104,2016,Preseason,2,WAS,22,NYJ,18,WAS,3,0,2,0,0,0,0,0,1,0,0,0,0,3.0,0
105,2016,Regular,2,DEN,34,IND,20,DEN,1,0,1,1,0,0,0,0,1,1,0,0,0,5.0,0
106,2016,Regular,2,ARI,40,TB,7,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0
107,2016,Regular,2,CAR,46,SF,27,CAR,1,0,1,1,0,0,0,0,2,0,0,0,0,2.0,0
108,2016,Preseason,2,SD,19,ARI,3,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0
109,2016,Regular,2,WAS,23,DAL,27,WAS,2,0,1,0,0,0,0,0,0,0,0,0,0,4.0,0
110,2016,Preseason,2,HOU,16,NO,9,NO,0,0,1,0,0,0,0,0,1,0,0,0,0,3.0,0
