Unnamed: 0,season_year,season_type,week,team,full_name,position,receiving_rec,receiving_tar,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yac,receiving_yds,fumbles_total,fumble_rec_tds,kicking_rec_tds,kickret_tds,puntret_tds,rushing_att,rushing_yds,rushing_tds,rushing_loss_yards,rushing_twoptm,team_score,opp_score,opp_team,h/a,total_points,rec_percentage,score_percentage,yds_per_rec,yds_per_rush,DK points
294,2016,Preseason,2,BAL,Kamar Aiken,WR,1,2,1,0,0,10,14,0,0,0,0,0,0,0,0,0,0,19,18,IND,0,6,0.5,0.315789473684,14.0,,8.4
295,2016,Preseason,2,BAL,Michael Campanaro,WR,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,19,18,IND,0,0,0.5,0.0,3.0,,1.3
296,2016,Preseason,2,IND,Chester Rogers,WR,5,6,0,0,0,10,31,0,0,0,0,0,0,0,0,0,0,18,19,BAL,1,0,0.833333333333,0.0,6.2,,8.1
297,2016,Preseason,2,IND,Donte Moncrief,WR,2,2,0,0,0,18,25,0,0,0,0,0,0,0,0,0,0,18,19,BAL,1,0,1.0,0.0,12.5,,4.5
298,2016,Preseason,2,IND,Phillip Dorsett,WR,3,3,0,0,0,8,37,0,0,0,0,0,0,0,0,0,0,18,19,BAL,1,0,1.0,0.0,12.3333333333,,6.7
299,2016,Preseason,2,IND,Quan Bray,WR,2,3,0,0,0,16,22,0,0,0,0,0,0,0,0,0,0,18,19,BAL,1,0,0.666666666667,0.0,11.0,,4.2
300,2016,Preseason,2,JAC,Allen Hurns,WR,2,3,1,0,0,4,29,0,0,0,0,0,0,0,0,0,0,21,27,TB,1,6,0.666666666667,0.285714285714,14.5,,10.9
301,2016,Preseason,2,JAC,Allen Robinson,WR,4,5,0,0,0,3,34,0,0,0,0,0,0,0,0,0,0,21,27,TB,1,0,0.8,0.0,8.5,,7.4
302,2016,Preseason,2,JAC,Arrelious Benn,WR,1,2,0,0,0,11,9,0,0,0,0,0,0,0,0,0,0,21,27,TB,1,0,0.5,0.0,9.0,,1.9
303,2016,Preseason,2,JAC,Bryan Walters,WR,1,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,21,27,TB,1,0,0.5,0.0,5.0,,1.5
304,2016,Preseason,2,JAC,Marqise Lee,WR,1,2,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,21,27,TB,1,0,0.5,0.0,8.0,,1.8
305,2016,Preseason,2,JAC,Rashad Greene,WR,1,3,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,21,27,TB,1,0,0.333333333333,0.0,3.0,,1.3
306,2016,Preseason,2,TB,Donteea Dye,WR,1,3,0,0,0,5,20,0,0,0,0,0,0,0,0,0,0,27,21,JAC,0,0,0.333333333333,0.0,20.0,,3.0
307,2016,Preseason,2,TB,Mike Evans,WR,2,5,1,0,0,7,18,0,0,0,0,0,0,0,0,0,0,27,21,JAC,0,6,0.4,0.222222222222,9.0,,9.8
308,2016,Preseason,2,CHI,Alshon Jeffery,WR,2,2,0,0,0,3,41,0,0,0,0,0,0,0,0,0,0,22,23,NE,0,0,1.0,0.0,20.5,,6.1
309,2016,Preseason,2,CHI,Josh Bellamy,WR,2,5,0,0,0,2,30,0,0,0,0,0,0,0,0,0,0,22,23,NE,0,0,0.4,0.0,15.0,,5.0
310,2016,Preseason,2,CHI,Kevin White,WR,1,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,22,23,NE,0,0,0.333333333333,0.0,6.0,,1.6
311,2016,Preseason,2,CHI,Marc Mariani,WR,1,1,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,22,23,NE,0,0,1.0,0.0,3.0,,1.3
312,2016,Preseason,2,NE,Chris Hogan,WR,4,5,0,1,1,16,53,0,0,0,0,0,0,0,0,0,0,23,22,CHI,1,2,0.8,0.0869565217391,13.25,,11.3
313,2016,Preseason,2,PHI,Byron Marshall,WR,2,2,0,0,0,9,19,0,0,0,0,0,8,18,0,0,0,17,0,PIT,0,0,1.0,0.0,9.5,2.25,5.7
314,2016,Preseason,2,PHI,Josh Huff,WR,1,2,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,17,0,PIT,0,0,0.5,0.0,5.0,,1.5
315,2016,Preseason,2,PHI,Nelson Agholor,WR,2,3,0,0,0,2,30,0,0,0,0,0,0,0,0,0,0,17,0,PIT,0,0,0.666666666667,0.0,15.0,,5.0
316,2016,Preseason,2,PHI,Paul Turner,WR,3,3,0,0,0,3,44,0,0,0,0,0,0,0,0,0,0,17,0,PIT,0,0,1.0,0.0,14.6666666667,,7.4
317,2016,Preseason,2,PIT,Cobi Hamilton,WR,4,7,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,17,PHI,1,0,0.571428571429,,11.0,,8.4
318,2016,Preseason,2,PIT,Darrius Heyward-Bey,WR,1,2,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,17,PHI,1,0,0.5,,12.0,,2.2
319,2016,Preseason,2,PIT,Eli Rogers,WR,4,5,0,0,0,32,39,0,0,0,0,0,0,0,0,0,0,0,17,PHI,1,0,0.8,,9.75,,7.9
320,2016,Preseason,2,PIT,Sammie Coates,WR,2,4,0,0,0,0,30,0,0,0,0,0,1,9,0,0,0,0,17,PHI,1,0,0.5,,15.0,9.0,5.9
321,2016,Preseason,2,ARI,Jaron Brown,WR,2,3,0,0,0,3,40,0,0,0,0,0,0,0,0,0,0,3,19,SD,0,0,0.666666666667,0.0,20.0,,6.0
322,2016,Preseason,2,ARI,Michael Floyd,WR,1,3,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,3,19,SD,0,0,0.333333333333,0.0,2.0,,1.2
323,2016,Preseason,2,SD,Isaiah Burse,WR,1,4,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,19,3,ARI,1,0,0.25,0.0,9.0,,1.9
324,2016,Preseason,2,SD,Keenan Allen,WR,2,2,0,0,0,11,41,0,0,0,0,0,0,0,0,0,0,19,3,ARI,1,0,1.0,0.0,20.5,,6.1
325,2016,Preseason,2,SD,Travis Benjamin,WR,1,4,0,0,0,6,11,0,0,0,0,0,1,-5,0,0,0,19,3,ARI,1,0,0.25,0.0,11.0,-5.0,1.6
326,2016,Preseason,2,SD,Tyrell Williams,WR,4,6,0,0,0,5,47,0,0,0,0,0,0,0,0,0,0,19,3,ARI,1,0,0.666666666667,0.0,11.75,,8.7
327,2016,Preseason,2,MIN,Adam Thielen,WR,4,6,0,0,0,14,61,0,0,0,0,0,0,0,0,0,0,18,11,SEA,0,0,0.666666666667,0.0,15.25,,10.1
328,2016,Preseason,2,MIN,Cordarrelle Patterson,WR,2,2,0,0,0,21,17,0,0,0,0,0,0,0,0,0,0,18,11,SEA,0,0,1.0,0.0,8.5,,3.7
329,2016,Preseason,2,MIN,Stefon Diggs,WR,1,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,18,11,SEA,0,0,1.0,0.0,3.0,,1.3
330,2016,Preseason,2,SEA,Tanner McEvoy,WR,1,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,11,18,MIN,1,0,0.5,0.0,8.0,,1.8
331,2016,Preseason,2,SEA,Tyler Lockett,WR,2,3,0,0,0,8,39,0,0,0,0,0,0,0,0,0,0,11,18,MIN,1,0,0.666666666667,0.0,19.5,,5.9
332,2016,Preseason,2,CAR,Corey Brown,WR,2,2,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,26,16,TEN,0,0,1.0,0.0,8.0,,3.6
333,2016,Preseason,2,CAR,Devin Funchess,WR,2,4,0,0,0,8,19,0,0,0,0,0,0,0,0,0,0,26,16,TEN,0,0,0.5,0.0,9.5,,3.9
334,2016,Preseason,2,CAR,Kelvin Benjamin,WR,2,3,0,0,0,6,29,0,0,0,0,0,0,0,0,0,0,26,16,TEN,0,0,0.666666666667,0.0,14.5,,4.9
335,2016,Preseason,2,CAR,LaRon Byrd,WR,2,2,0,0,0,3,18,0,0,0,0,0,0,0,0,0,0,26,16,TEN,0,0,1.0,0.0,9.0,,3.8
336,2016,Preseason,2,CAR,Ted Ginn,WR,1,1,1,0,0,51,61,0,0,0,0,0,0,0,0,0,0,26,16,TEN,0,6,1.0,0.230769230769,61.0,,13.1
337,2016,Preseason,2,TEN,Harry Douglas,WR,3,5,1,0,0,13,39,0,0,0,0,0,0,0,0,0,0,16,26,CAR,1,6,0.6,0.375,13.0,,12.9
338,2016,Preseason,2,TEN,Justin Hunter,WR,4,7,0,1,0,4,54,0,0,0,0,0,0,0,0,0,0,16,26,CAR,1,0,0.571428571429,0.0,13.5,,9.4
339,2016,Preseason,2,TEN,Rishard Matthews,WR,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,16,26,CAR,1,0,1.0,0.0,6.0,,1.6
340,2016,Preseason,2,TEN,Tajae Sharpe,WR,6,6,0,0,0,9,68,0,0,0,0,0,1,-11,0,0,0,16,26,CAR,1,0,1.0,0.0,11.3333333333,-11.0,11.7
341,2016,Preseason,2,TEN,Tre McBride,WR,4,5,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,16,26,CAR,1,0,0.8,0.0,5.75,,6.3
342,2016,Preseason,2,KC,Albert Wilson,WR,2,5,0,0,0,4,13,0,0,0,0,0,0,0,0,0,0,20,21,UNK,0,0,0.4,0.0,6.5,,3.3
343,2016,Preseason,2,KC,Chris Conley,WR,3,3,0,0,0,22,66,0,0,0,0,0,0,0,0,0,0,20,21,UNK,0,0,1.0,0.0,22.0,,9.6
344,2016,Preseason,2,KC,De'Anthony Thomas,WR,2,2,0,0,0,12,13,0,0,0,0,0,0,0,0,0,0,20,21,UNK,0,0,1.0,0.0,6.5,,3.3
345,2016,Preseason,2,KC,Demarcus Robinson,WR,1,1,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,20,21,UNK,0,0,1.0,0.0,15.0,,2.5
