,season_year,season_type,week,home_team,home_score,away_team,away_score,team,full_name,position,receiving_rec,receiving_tar,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yac,receiving_yds,fumbles_total,fumble_rec_tds,kicking_rec_tds,kickret_tds,puntret_tds,rushing_att,rushing_yds,rushing_tds,rushing_loss_yards,rushing_twoptm
60,2016,Preseason,1,KC,16,SEA,17,SEA,Tyler Lockett,WR,1,1,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0
61,2016,Preseason,1,NE,34,NO,22,NE,Malcolm Mitchell,WR,4,5,0,0,0,9,55,0,0,0,0,0,0,0,0,0,0
62,2016,Preseason,1,NE,34,NO,22,NO,Brandin Cooks,WR,1,1,0,0,0,10,37,0,0,0,0,0,0,0,0,0,0
63,2016,Preseason,1,NE,34,NO,22,NO,Michael Thomas,WR,4,6,0,0,0,11,67,0,0,0,0,0,0,0,0,0,0
64,2016,Preseason,1,NE,34,NO,22,NO,Tommylee Lewis,WR,3,3,0,1,0,6,38,0,0,0,0,0,0,0,0,0,1
65,2016,Preseason,1,NE,34,NO,22,NO,Willie Snead,WR,1,1,0,0,0,20,22,0,0,0,0,0,0,0,0,0,0
66,2016,Preseason,1,NYG,10,MIA,27,MIA,Jakeem Grant,WR,4,5,0,0,0,32,68,0,0,0,0,0,0,0,0,0,0
67,2016,Preseason,1,NYG,10,MIA,27,MIA,Jarvis Landry,WR,1,1,0,0,0,-2,1,0,0,0,0,0,0,0,0,0,0
68,2016,Preseason,1,NYG,10,MIA,27,MIA,Kenny Stills,WR,1,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
69,2016,Preseason,1,NYG,10,MIA,27,MIA,Leonte Carroo,WR,3,3,0,0,0,2,18,0,0,0,0,0,0,0,0,0,0
70,2016,Preseason,1,NYG,10,MIA,27,NYG,Dwayne Harris,WR,1,1,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0
71,2016,Preseason,1,NYG,10,MIA,27,NYG,Geremy Davis,WR,2,3,0,0,0,6,21,0,0,0,0,0,0,0,0,0,0
72,2016,Preseason,1,NYG,10,MIA,27,NYG,Roger Lewis,WR,1,1,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0
73,2016,Preseason,1,NYG,10,MIA,27,NYG,Sterling Shepard,WR,1,4,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0
74,2016,Preseason,1,NYJ,17,JAC,13,JAC,Allen Hurns,WR,1,1,0,0,0,16,13,0,0,0,0,0,0,0,0,0,0
75,2016,Preseason,1,NYJ,17,JAC,13,JAC,Allen Robinson,WR,3,3,0,0,0,3,80,0,0,0,0,0,0,0,0,0,0
76,2016,Preseason,1,NYJ,17,JAC,13,JAC,Arrelious Benn,WR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,2016,Preseason,1,NYJ,17,JAC,13,JAC,Marqise Lee,WR,4,4,0,0,0,11,49,0,0,0,0,0,0,0,0,0,0
78,2016,Preseason,1,NYJ,17,JAC,13,NYJ,Brandon Marshall,WR,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
79,2016,Preseason,1,NYJ,17,JAC,13,NYJ,Charone Peake,WR,4,4,1,0,0,7,45,0,0,0,0,0,0,0,0,0,0
80,2016,Preseason,1,NYJ,17,JAC,13,NYJ,Jalin Marshall,WR,1,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
81,2016,Preseason,1,NYJ,17,JAC,13,NYJ,Quincy Enunwa,WR,2,3,0,0,0,31,69,0,0,0,0,0,0,0,0,0,0
82,2016,Preseason,1,NYJ,17,JAC,13,NYJ,Robby Anderson,WR,1,3,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0
83,2016,Preseason,1,PHI,17,TB,9,TB,Adam Humphries,WR,1,1,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0
84,2016,Preseason,1,PHI,17,TB,9,TB,Freddie Martino,WR,1,3,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0
85,2016,Preseason,1,PHI,17,TB,9,TB,Mike Evans,WR,1,2,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0
86,2016,Preseason,1,PHI,17,TB,9,TB,Russell Shepard,WR,3,3,1,0,0,25,62,0,0,0,0,0,0,0,0,0,0
87,2016,Preseason,1,PHI,17,TB,9,TB,Vincent Jackson,WR,1,1,0,0,0,4,17,0,0,0,0,0,0,0,0,0,0
88,2016,Preseason,1,PIT,17,DET,30,DET,Andre Roberts,WR,3,5,1,0,0,25,57,0,0,0,0,0,0,0,0,0,0
89,2016,Preseason,1,PIT,17,DET,30,DET,Anquan Boldin,WR,1,1,0,0,0,24,30,0,0,0,0,0,0,0,0,0,0
90,2016,Preseason,1,PIT,17,DET,30,DET,Jeremy Kerley,WR,5,6,0,0,0,18,36,0,0,0,0,0,0,0,0,0,0
91,2016,Preseason,1,PIT,17,DET,30,PIT,Cobi Hamilton,WR,2,5,0,0,0,1,22,0,0,0,0,0,0,0,0,0,0
92,2016,Preseason,1,PIT,17,DET,30,PIT,Darrius Heyward-Bey,WR,1,3,1,0,0,0,29,0,0,0,0,0,0,0,0,0,0
93,2016,Preseason,1,PIT,17,DET,30,PIT,Eli Rogers,WR,1,1,0,0,0,5,8,0,0,0,0,0,1,5,0,0,0
94,2016,Preseason,1,PIT,17,DET,30,PIT,Sammie Coates,WR,3,4,0,0,0,11,18,2,0,0,0,0,1,0,0,0,0
95,2016,Preseason,1,SF,13,HOU,24,HOU,Braxton Miller,WR,4,6,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
96,2016,Preseason,1,SF,13,HOU,24,HOU,Jaelen Strong,WR,4,6,0,0,0,11,42,0,0,0,0,0,0,0,0,0,0
97,2016,Preseason,1,SF,13,HOU,24,HOU,Keith Mumphery,WR,1,3,0,0,0,5,13,0,0,0,0,0,0,0,0,0,0
98,2016,Preseason,1,SF,13,HOU,24,HOU,Will Fuller,WR,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
99,2016,Preseason,1,SF,13,HOU,24,SF,Bruce Ellington,WR,1,1,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0
100,2016,Preseason,1,SF,13,HOU,24,SF,Bryce Treggs,WR,1,5,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0
101,2016,Preseason,1,TEN,27,SD,10,SD,Keenan Allen,WR,1,1,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
102,2016,Preseason,1,TEN,27,SD,10,TEN,Dorial Green-Beckham,WR,1,2,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
103,2016,Preseason,1,TEN,27,SD,10,TEN,Harry Douglas,WR,1,1,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0
104,2016,Preseason,1,TEN,27,SD,10,TEN,Rishard Matthews,WR,2,2,0,0,0,5,32,0,0,0,0,0,0,0,0,0,0
105,2016,Preseason,1,TEN,27,SD,10,TEN,Tajae Sharpe,WR,2,2,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0
106,2016,Preseason,1,TEN,27,SD,10,TEN,Tre McBride,WR,1,3,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0
107,2016,Preseason,1,UNK,28,DAL,24,DAL,Brice Butler,WR,1,1,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0
