season_year,season_type,week,home_team,home_score,away_team,away_score,team,full_name,position,receiving_rec,receiving_tar,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yac,receiving_yds,fumbles_total,fumble_rec_tds,kicking_rec_tds,puntret_tds,kickret_tds,rushing_att,rushing_yds,rushing_tds,rushing_loss_yards,rushing_twoptm
2016,Regular,1,BAL,13,BUF,7,BAL,Dennis Pitta,TE,3,4,0,0,0,5,39,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,BAL,13,BUF,7,BUF,Charles Clay,TE,2,3,0,0,0,13,40,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,DAL,19,NYG,20,DAL,Geoff Swaim,TE,1,1,0,0,0,2,21,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,DAL,19,NYG,20,DAL,Jason Witten,TE,9,14,0,0,0,28,66,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,DAL,19,NYG,20,NYG,Larry Donnell,TE,1,2,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,DAL,19,NYG,20,NYG,Will Tye,TE,3,3,0,0,0,5,16,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,DEN,21,CAR,20,CAR,Greg Olsen,TE,7,9,0,0,0,27,73,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,DEN,21,CAR,20,DEN,Virgil Green,TE,4,5,0,0,0,7,28,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,HOU,23,CHI,14,CHI,Zach Miller,TE,3,4,0,0,0,8,14,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,HOU,23,CHI,14,HOU,C.J. Fiedorowicz,TE,1,2,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,HOU,23,CHI,14,HOU,Ryan Griffin,TE,2,2,0,0,0,2,17,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,HOU,23,CHI,14,HOU,Stephen Anderson,TE,3,3,0,0,0,10,25,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,IND,35,DET,39,DET,Cole Wick,TE,1,1,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,IND,35,DET,39,DET,Eric Ebron,TE,5,5,1,0,0,16,46,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,IND,35,DET,39,IND,Dwayne Allen,TE,4,6,1,1,1,15,53,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,IND,35,DET,39,IND,Jack Doyle,TE,3,4,2,0,0,0,35,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,JAC,23,GB,27,GB,Jared Cook,TE,1,2,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,JAC,23,GB,27,GB,Richard Rodgers,TE,1,3,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,JAC,23,GB,27,JAC,Julius Thomas,TE,5,5,1,0,0,16,64,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,JAC,23,GB,27,JAC,Marcedes Lewis,TE,2,2,0,0,0,45,48,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,KC,33,SD,27,KC,Demetrius Harris,TE,2,3,0,0,0,8,20,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,KC,33,SD,27,KC,Travis Kelce,TE,6,7,0,0,0,19,74,0,0,0,0,0,0,0,0,0,0
2016,Regular,1,KC,33,SD,27,SD,Antonio Gates,TE,3,4,0,0,0,9,20,0,0,0,0,0,0,0,0,0,0
