Date, Vis Team, Home Team, Vis Spread, Home Spread, Over Under
9/23/12, Jaguars, Colts,3,-3,43
9/24/12, Packers, Seahawks,-3,3,45
9/27/12, Browns, Ravens,11.5,-11.5,43.5
9/30/12, Panthers, Falcons,7,-7,48.5
9/30/12, 49ers, Jets,-4,4,41
9/30/12, Chargers, Chiefs,-1,1,44.5
9/30/12, Seahawks, Rams,-3,3,39
9/30/12, Dolphins, Cardinals,4.5,-4.5,40.5
9/30/12, Raiders, Broncos,7,-7,49
9/30/12, Bengals, Jaguars,-1,1,44.5
9/30/12, Saints, Packers,7,-7,53.5
9/30/12, Redskins, Buccaneers,2.5,-2.5,47.5
9/30/12, Giants, Eagles,2,-2,47.5
9/30/12, Patriots, Bills,-4,4,49.5
9/30/12, Titans, Texans,11,-11,44.5
9/30/12, Vikings, Lions,4,-4,49
10/1/12, Bears, Cowboys,3,-3,41.5
10/4/12, Cardinals, Rams,-1.5,1.5,39.5
10/7/12, Falcons, Redskins,-3,3,50.5
10/7/12, Eagles, Steelers,3.5,-3.5,43.5
10/7/12, Packers, Colts,-7,7,48
10/7/12, Browns, Giants,7.5,-7.5,43.5
10/7/12, Titans, Vikings,5.5,-5.5,44
10/7/12, Dolphins, Bengals,3,-3,45.5
10/7/12, Ravens, Chiefs,-6.5,6.5,46
10/7/12, Seahawks, Panthers,3,-3,42.5
10/7/12, Bears, Jaguars,-5.5,5.5,40.5
10/7/12, Broncos, Patriots,6.5,-6.5,52
10/7/12, Bills, 49ers,10,-10,45.5
10/7/12, Chargers, Saints,3.5,-3.5,52.5
10/8/12, Texans, Jets,-8,8,41
10/11/12, Steelers, Titans,-6,6,43.5
10/14/12, Bengals, Browns,-2.5,2.5,43
10/14/12, Raiders, Falcons,9.5,-9.5,48.5
10/14/12, Cowboys, Ravens,3.5,-3.5,44.5
10/14/12, Lions, Eagles,3.5,-3.5,48
10/14/12, Rams, Dolphins,4.5,-4.5,37.5
10/14/12, Patriots, Seahawks,-3.5,3.5,44
10/14/12, Bills, Cardinals,4,-4,44
10/14/12, Giants, 49ers,6.5,-6.5,46
10/14/12, Packers, Texans,3.5,-3.5,47.5
10/14/12, Chiefs, Buccaneers,4,-4,40.5
10/14/12, Colts, Jets,3.5,-3.5,44
10/14/12, Vikings, Redskins,-1,1,0
10/15/12, Broncos, Chargers,1,-1,49
10/18/12, Seahawks, 49ers,7,-7,37.5
10/21/12, Titans, Bills,3.5,-3.5,46.5
10/21/12, Cardinals, Vikings,7,-7,40.5
10/21/12, Browns, Colts,1,-1,45.5
10/21/12, Ravens, Texans,7,-7,48
10/21/12, Packers, Rams,-4.5,4.5,45.5
10/21/12, Cowboys, Panthers,-1,1,45.5
10/21/12, Redskins, Giants,6.5,-6.5,51
10/21/12, Saints, Buccaneers,-1,1,49.5
10/21/12, Jets, Patriots,10.5,-10.5,47
10/21/12, Jaguars, Raiders,6,-6,43.5
10/21/12, Steelers, Bengals,-1,1,45.5
10/22/12, Lions, Bears,6,-6,47
10/25/12, Buccaneers, Vikings,6.5,-6.5,42.5
10/28/12, Patriots, Rams,-7,7,46.5
10/28/12, Colts, Titans,3.5,-3.5,47
10/28/12, Chargers, Browns,-3,3,41
10/28/12, Falcons, Eagles,1,-1,42.5
10/28/12, Seahawks, Lions,1,-1,43
10/28/12, Dolphins, Jets,1.5,-1.5,39
10/28/12, Panthers, Bears,9,-9,42.5
10/28/12, Giants, Cowboys,-2.5,2.5,48
10/28/12, Saints, Broncos,6,-6,54.5
10/28/12, Redskins, Steelers,4,-4,44.5
10/28/12, Raiders, Chiefs,1.5,-1.5,41.5
10/28/12, Jaguars, Packers,14,-14,46
10/29/12, 49ers, Cardinals,-7,7,38.5
11/1/12, Chiefs, Chargers,9,-9,42.5
11/4/12, Broncos, Bengals,-4,4,48
11/4/12, Cardinals, Packers,10,-10,43.5
11/4/12, Dolphins, Colts,-1,1,43
11/4/12, Ravens, Browns,-3.5,3.5,42.5
11/4/12, Bills, Texans,10.5,-10.5,48
11/4/12, Panthers, Redskins,3,-3,48
