team,spread,o/u,season_year,week
BUF,-5.5,42.0,2009,5
BAL,-9.5,42.0,2009,5
SF,-1.0,39.5,2009,5
DEN,3.0,41.5,2009,5
ARI,-5.5,50.5,2009,5
TEN,3.5,44.0,2009,5
KC,7.5,43.5,2009,5
NYG,-15.0,38.5,2009,5
DET,11.0,44.0,2009,5
STL,10.0,40.5,2009,5
PHI,-15.5,41.5,2009,5
SEA,-2.0,44.0,2009,5
MIA,3.0,36.0,2009,5
WAS,-6.5,36.5,2009,6
PIT,-14.0,38.0,2009,6
MIN,-3.0,45.5,2009,6
JAC,-9.5,42.5,2009,6
TB,3.0,40.5,2009,6
OAK,14.0,40.5,2009,6
SEA,-3.0,45.5,2009,6
ATL,-4.5,46.0,2009,6
CIN,-3.5,45.5,2009,6
NO,-3.5,47.5,2009,6
GB,-14.0,48.5,2009,6
NE,-9.0,38.0,2009,6
NYJ,-9.5,35.5,2009,6
SD,-3.5,45.0,2009,6
STL,14.0,45.0,2009,7
CLE,9.0,41.5,2009,7
PIT,-6.0,46.5,2009,7
TB,15.5,44.5,2009,7
HOU,-3.5,44.0,2009,7
OAK,6.0,34.0,2009,7
MIA,6.0,47.5,2009,7
NYG,-7.5,46.5,2009,7
CIN,1.0,42.5,2009,7
DAL,-5.5,47.5,2009,7
KC,4.5,44.0,2009,7
CAR,-7.0,37.0,2009,7
WAS,8.5,38.0,2009,7
BAL,-4.5,42.5,2009,8
CHI,-11.5,40.0,2009,8
GB,-3.5,46.5,2009,8
IND,-12.5,45.0,2009,8
NYJ,-3.5,40.0,2009,8
DAL,-10.0,46.0,2009,8
SD,-16.0,41.5,2009,8
TEN,-3.0,44.5,2009,8
ARI,-9.5,43.5,2009,8
BUF,3.5,41.5,2009,8
PHI,1.0,43.0,2009,8
DET,-3.5,43.5,2009,8
NO,-11.0,55.5,2009,8
JAC,-7.0,41.5,2009,9
CIN,3.0,44.5,2009,9
IND,-7.5,50.0,2009,9
TB,9.5,43.0,2009,9
CHI,-3.0,44.5,2009,9
NE,-11.0,47.0,2009,9
SEA,-10.5,42.0,2009,9
SF,-4.0,41.0,2009,9
NYG,-4.5,48.5,2009,9
PHI,-3.0,49.5,2009,9
ATL,-9.0,41.0,2009,9
NO,-12.0,51.0,2009,9
DEN,3.0,41.0,2009,9
SF,-3.5,43.0,2009,10
NYJ,-6.5,41.0,2009,10
TEN,-7.5,41.0,2009,10
MIN,-17.0,47.0,2009,10
STL,14.0,50.5,2009,10
CAR,1.0,43.5,2009,10
MIA,-10.0,43.0,2009,10
OAK,-3.0,36.5,2009,10
ARI,-9.0,46.5,2009,10
IND,-3.0,48.5,2009,10
SD,-1.0,47.0,2009,10
GB,3.0,47.5,2009,10
WAS,3.5,36.5,2009,10
PIT,-7.0,41.5,2009,10
CLE,10.5,39.5,2009,10
CAR,-3.5,41.5,2009,11
JAC,-8.5,41.0,2009,11
KC,11.0,40.0,2009,11
GB,-6.0,42.0,2009,11
MIN,-10.5,47.0,2009,11
DAL,-10.5,41.5,2009,11
TB,11.0,50.5,2009,11
STL,9.0,46.5,2009,11
OAK,9.0,36.0,2009,11
CHI,3.5,46.0,2009,11
NE,-11.0,44.5,2009,11
DET,-3.5,37.5,2009,11
BAL,1.0,44.5,2009,11
NYG,-7.0,46.5,2009,11
DEN,6.0,41.5,2009,11
HOU,-3.5,48.0,2009,11
DAL,-13.5,40.5,2009,12
DEN,4.0,43.0,2009,12
DET,11.5,48.0,2009,12
CIN,-13.0,39.5,2009,12
BUF,3.5,38.5,2009,12
STL,3.5,42.5,2009,12
ATL,-12.5,46.0,2009,12
NYJ,-3.5,41.0,2009,12
SF,-3.5,42.0,2009,12
SD,-13.0,45.0,2009,12
MIN,-10.5,47.0,2009,12
PHI,-10.0,40.5,2009,12
HOU,3.0,47.5,2009,12
TEN,-3.5,44.0,2009,12
BAL,-9.0,35.0,2009,12
NO,-3.0,56.5,2009,12
BUF,3.5,37.0,2009,13
KC,5.5,38.5,2009,13
JAC,1.0,47.0,2009,13
IND,-6.5,46.5,2009,13
CIN,-13.5,42.0,2009,13
CAR,-3.5,40.5,2009,13
CHI,-9.0,41.0,2009,13
CLE,13.5,42.5,2009,13
SEA,1.0,41.0,2009,13
NYG,1.0,45.5,2009,13
MIA,5.0,46.0,2009,13
ATL,4.0,43.5,2009,13
WAS,9.0,46.5,2009,13
