,season_year,season_type,week,team,full_name,position,receiving_rec,receiving_tar,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yac,receiving_yds,fumbles_total,fumble_rec_tds,kicking_rec_tds,kickret_tds,puntret_tds,rushing_att,rushing_yds,rushing_tds,rushing_loss_yards,rushing_twoptm,team_score,opp_score,opp_team,h/a,total_points,rec_percentage,score_percentage,yds_per_rec,yds_per_rush,DK points,mean_receiving_rec_last_4_weeks,mean_receiving_tar_last_4_weeks,mean_receiving_tds_last_4_weeks,mean_receiving_twopta_last_4_weeks,mean_receiving_twoptm_last_4_weeks,mean_receiving_yac_last_4_weeks,mean_receiving_yds_last_4_weeks,mean_fumbles_total_last_4_weeks,mean_fumble_rec_tds_last_4_weeks,mean_kicking_rec_tds_last_4_weeks,mean_kickret_tds_last_4_weeks,mean_puntret_tds_last_4_weeks,mean_rushing_att_last_4_weeks,mean_rushing_yds_last_4_weeks,mean_rushing_tds_last_4_weeks,mean_rushing_loss_yards_last_4_weeks,mean_rushing_twoptm_last_4_weeks,mean_team_score_last_4_weeks,mean_opp_score_last_4_weeks,mean_total_points_last_4_weeks,mean_rec_percentage_last_4_weeks,mean_score_percentage_last_4_weeks,mean_yds_per_rec_last_4_weeks,mean_yds_per_rush_last_4_weeks,opp_fp_allowed_last_week,opp_fp_allowed_last_4_weeks
54,2009,Regular,2,ARI,Anquan Boldin,WR,8,9,0,0,0,36,69,1,0,0,0,0,1,4,0,0,0,31,17,JAC,0,0,0.888888888889,0.0,8.625,4.0,14.3,2.0,5.0,0.0,0.0,0.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,20.0,0.0,0.4,0.0,9.5,0.0,,5.4
55,2009,Regular,2,ARI,Larry Fitzgerald,WR,4,5,1,0,0,5,34,0,0,0,0,0,0,0,0,0,0,31,17,JAC,0,6,0.8,0.193548387097,8.5,0.0,13.4,6.0,11.0,1.0,0.0,0.0,23.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,20.0,6.0,0.545454545455,0.375,11.8333333333,0.0,,5.4
56,2009,Regular,2,OAK,Darrius Heyward-Bey,WR,1,6,0,0,0,2,18,0,0,0,0,0,0,0,0,0,0,13,10,KC,0,0,0.166666666667,0.0,18.0,0.0,2.8,1.0,6.0,0.0,0.0,0.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,10.0,0.0,0.166666666667,0.0,18.0,0.0,0.0,13.7
57,2009,Regular,2,IND,Pierre Garcon,WR,1,3,1,0,0,45,48,0,0,0,0,0,0,0,0,0,0,27,23,MIA,0,6,0.333333333333,0.222222222222,48.0,0.0,11.8,3.0,5.0,0.0,0.0,0.0,11.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,12.0,0.0,0.6,0.0,8.0,0.0,0.0,12.075
58,2009,Regular,2,MIA,Ted Ginn,WR,11,16,0,0,0,6,108,0,0,0,0,0,0,0,0,0,0,23,27,IND,1,0,0.6875,0.0,9.81818181818,0.0,24.8,2.0,5.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,7.0,19.0,0.0,0.4,0.0,13.0,4.5,0.0,13.95
59,2009,Regular,2,NE,Julian Edelman,WR,8,16,0,0,0,61,98,0,0,0,0,0,0,0,0,0,0,9,16,NYJ,0,0,0.5,0.0,12.25,0.0,17.8,8.0,16.0,0.0,0.0,0.0,61.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,16.0,0.0,0.5,0.0,12.25,0.0,0.0,7.975
60,2009,Regular,2,PHI,DeSean Jackson,WR,4,9,1,0,0,57,101,0,0,0,0,0,3,15,0,0,0,22,48,NO,1,6,0.444444444444,0.272727272727,25.25,5.0,24.6,2.0,7.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,1.0,2.0,33.0,0.0,0.0,0.0,38.0,10.0,6.0,0.285714285714,0.157894736842,4.5,16.5,0.0,5.025
61,2009,Regular,2,PHI,Jeremy Maclin,WR,2,3,0,0,0,6,12,0,0,0,0,0,0,0,0,0,0,22,48,NO,1,0,0.666666666667,0.0,6.0,0.0,3.2,2.0,3.0,0.0,0.0,0.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,48.0,0.0,0.666666666667,0.0,6.0,0.0,0.0,5.025
62,2009,Regular,2,SD,Vincent Jackson,WR,6,7,1,0,0,4,141,0,0,0,0,0,0,0,0,0,0,26,31,BAL,1,6,0.857142857143,0.230769230769,23.5,0.0,29.1,5.0,7.0,1.0,0.0,0.0,16.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,20.0,6.0,0.714285714286,0.25,11.2,0.0,0.0,7.375
63,2009,Regular,2,TEN,Kenny Britt,WR,2,2,0,0,0,6,22,0,0,0,0,0,0,0,0,0,0,31,34,HOU,1,0,1.0,0.0,11.0,0.0,4.2,4.0,6.0,0.0,0.0,0.0,22.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,13.0,0.0,0.666666666667,0.0,21.25,0.0,0.0,13.675
83,2009,Regular,3,ARI,Anquan Boldin,WR,6,11,1,0,0,17,83,0,0,0,0,0,0,0,0,0,0,10,31,IND,1,6,0.545454545455,0.6,13.8333333333,0.0,20.3,5.0,7.0,0.0,0.0,0.0,19.0,44.0,0.5,0.0,0.0,0.0,0.0,0.5,2.0,0.0,0.0,0.0,23.5,18.5,0.0,0.644444444444,0.0,9.0625,2.0,5.4,24.8
84,2009,Regular,3,ARI,Larry Fitzgerald,WR,7,13,0,0,0,23,76,0,0,0,0,0,0,0,0,0,0,10,31,IND,1,0,0.538461538462,0.0,10.8571428571,0.0,14.6,5.0,8.0,1.0,0.0,0.0,14.0,52.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,18.5,6.0,0.672727272727,0.284274193549,10.1666666666,0.0,5.4,24.8
85,2009,Regular,3,IND,Pierre Garcon,WR,3,5,1,0,0,19,64,0,0,0,0,0,1,17,0,0,0,31,10,ARI,0,6,0.6,0.193548387097,21.3333333333,17.0,17.1,2.0,4.0,0.5,0.0,0.0,28.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5,17.5,3.0,0.466666666666,0.111111111111,28.0,0.0,0.0,7.8
86,2009,Regular,3,PIT,Mike Wallace,WR,7,8,0,0,0,28,102,0,0,0,0,0,0,0,0,0,0,20,23,CIN,0,0,0.875,0.0,14.5714285714,0.0,20.2,2.5,4.5,0.0,0.0,0.0,7.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,13.5,0.0,0.583333333334,0.0,8.58333333335,0.0,12.2,3.86666666667
87,2009,Regular,3,CAR,Steve Smith,WR,4,7,0,0,0,30,38,1,0,0,0,0,0,0,0,0,0,7,21,DAL,0,0,0.571428571429,0.0,9.5,0.0,6.8,5.5,14.0,0.0,0.0,0.0,23.0,76.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,0.0,0.0,0.0,15.0,33.0,0.0,0.382051282051,0.0,11.6875,2.0,0.0,13.925
88,2009,Regular,3,MIN,Percy Harvin,WR,4,9,0,0,0,46,51,0,0,0,1,0,1,-8,0,0,0,27,24,SF,1,6,0.444444444444,0.222222222222,12.75,-8.0,14.3,4.0,4.5,1.0,0.0,0.0,20.0,38.5,0.0,0.0,0.0,0.0,0.0,2.0,18.0,0.0,0.0,0.0,30.5,16.5,6.0,0.875,0.199346405229,10.1,9.0,0.0,23.775
89,2009,Regular,3,NE,Julian Edelman,WR,3,5,0,0,0,7,20,0,0,0,0,0,1,5,0,0,0,26,10,ATL,1,0,0.6,0.0,6.66666666667,5.0,5.5,8.0,16.0,0.0,0.0,0.0,61.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,16.0,0.0,0.5,0.0,12.25,0.0,,14.8
90,2009,Regular,3,TEN,Kenny Britt,WR,4,6,0,0,0,12,59,0,0,0,0,0,0,0,0,0,0,17,24,NYJ,0,0,0.666666666667,0.0,14.75,0.0,9.9,3.0,4.0,0.0,0.0,0.0,14.0,53.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5,23.5,0.0,0.833333333334,0.0,16.125,0.0,16.6,17.8
91,2009,Regular,3,DEN,Brandon Marshall,WR,5,7,1,0,0,16,67,0,0,0,0,0,1,5,0,0,0,23,3,OAK,0,6,0.714285714286,0.260869565217,13.4,5.0,18.2,3.5,6.5,0.0,0.5,0.0,10.5,30.5,0.0,0.0,0.0,0.0,0.0,0.5,7.0,0.0,0.0,0.0,19.5,6.5,0.0,0.535714285714,0.0,9.04166666665,7.0,0.0,9.475
92,2009,Regular,3,DEN,Eddie Royal,WR,1,3,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,23,3,OAK,0,0,0.333333333333,0.0,4.0,0.0,1.4,2.5,6.5,0.0,0.0,0.0,15.5,19.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,6.5,0.0,0.416666666666,0.0,7.83333333334,0.0,0.0,9.475
93,2009,Regular,3,PHI,DeSean Jackson,WR,6,10,1,0,0,96,149,0,0,0,0,0,0,0,0,0,0,34,14,KC,1,6,0.6,0.176470588235,24.8333333333,0.0,29.9,3.0,8.0,0.5,0.0,0.0,29.0,55.0,0.0,0.0,0.0,0.0,0.5,2.5,24.0,0.0,0.0,0.0,30.0,29.0,6.0,0.365079365079,0.215311004784,14.875,10.75,14.8,2.8
94,2009,Regular,3,PHI,Jeremy Maclin,WR,4,6,0,0,0,1,33,0,0,0,0,0,1,-1,0,0,0,34,14,KC,1,0,0.666666666667,0.0,8.25,-1.0,7.2,2.0,3.0,0.0,0.0,0.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,48.0,0.0,0.666666666667,0.0,6.0,0.0,14.8,2.8
95,2009,Regular,3,SD,Vincent Jackson,WR,5,8,0,0,0,20,120,0,0,0,0,0,0,0,0,0,0,23,13,MIA,1,0,0.625,0.0,24.0,0.0,20.0,5.5,7.0,1.0,0.0,0.0,10.0,98.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.5,6.0,0.785714285715,0.240384615385,17.35,0.0,19.0,11.8
