,season_year,season_type,week,team,full_name,position,receiving_rec,receiving_tar,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yac,receiving_yds,fumbles_total,fumble_rec_tds,kicking_rec_tds,puntret_tds,kickret_tds,rushing_att,rushing_yds,rushing_tds,rushing_loss_yards,rushing_twoptm,team_score,opp_score,opp_team,h/a,total_points,rec_percentage,score_percentage,yds_per_rec,yds_per_rush,DK points,mean_receiving_rec_last_4_weeks,mean_receiving_tar_last_4_weeks,mean_receiving_tds_last_4_weeks,mean_receiving_twopta_last_4_weeks,mean_receiving_twoptm_last_4_weeks,mean_receiving_yac_last_4_weeks,mean_receiving_yds_last_4_weeks,mean_fumbles_total_last_4_weeks,mean_fumble_rec_tds_last_4_weeks,mean_kicking_rec_tds_last_4_weeks,mean_puntret_tds_last_4_weeks,mean_kickret_tds_last_4_weeks,mean_rushing_att_last_4_weeks,mean_rushing_yds_last_4_weeks,mean_rushing_tds_last_4_weeks,mean_rushing_loss_yards_last_4_weeks,mean_rushing_twoptm_last_4_weeks,mean_team_score_last_4_weeks,mean_opp_score_last_4_weeks,mean_total_points_last_4_weeks,mean_rec_percentage_last_4_weeks,mean_score_percentage_last_4_weeks,mean_yds_per_rec_last_4_weeks,mean_yds_per_rush_last_4_weeks,opp_fp_allowed_last_week,opp_fp_allowed_last_4_weeks
51,2009,Regular,2,SF,Vernon Davis,TE,2,6,0,0,0,25,32,0,0,0,0,0,0,0,0,0,0,23,10,SEA,1,0,0.333333333333,0.0,16.0,0.0,5.2,5.0,7.0,0.0,0.0,0.0,18.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0,0.0,0.714285714286,0.0,8.0,0.0,0.0,10.775
68,2009,Regular,3,DAL,Jason Witten,TE,9,9,0,0,0,19,77,0,0,0,0,0,0,0,0,0,0,21,7,CAR,1,0,1.0,0.0,8.55555555556,0.0,16.7,5.0,7.0,0.5,0.0,0.0,23.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.5,27.0,3.0,0.714285714286,0.0967741935485,10.4,0.0,0.0,13.05
69,2009,Regular,3,DAL,Martellus Bennett,TE,1,3,0,0,0,-2,3,0,0,0,0,0,0,0,0,0,0,21,7,CAR,1,0,0.333333333333,0.0,3.0,0.0,1.3,1.0,3.0,0.0,0.0,0.0,3.5,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.5,27.0,0.0,0.375,0.0,12.0,0.0,0.0,13.05
70,2009,Regular,3,JAC,Marcedes Lewis,TE,1,2,0,0,0,4,18,0,0,0,0,0,0,0,0,0,0,31,24,HOU,0,0,0.5,0.0,18.0,0.0,2.8,3.0,5.5,0.5,0.0,0.0,12.5,42.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,22.5,3.0,0.55,0.176470588236,14.1666666667,0.0,0.0,6.575
71,2009,Regular,3,SF,Vernon Davis,TE,7,10,2,0,0,18,96,0,0,0,0,0,0,0,0,0,0,24,27,MIN,0,12,0.7,0.5,13.7142857143,0.0,28.6,3.5,6.5,0.0,0.0,0.0,21.5,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5,13.0,0.0,0.523809523809,0.0,12.0,0.0,0.0,11.275
72,2009,Regular,3,NE,Benjamin Watson,TE,1,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,26,10,ATL,1,0,0.333333333333,0.0,23.0,0.0,3.3,4.5,5.5,1.0,0.5,0.0,10.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,20.0,6.0,0.803571428572,0.24,10.25,0.0,0.0,9.95
73,2009,Regular,3,PHI,Brent Celek,TE,8,9,1,0,0,35,104,0,0,0,0,0,0,0,0,0,0,34,14,KC,1,6,0.888888888889,0.176470588235,13.0,0.0,27.4,7.0,9.0,0.5,0.0,0.0,33.5,70.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,29.0,3.0,0.792207792208,0.078947368421,9.58333333334,0.0,0.0,16.025
74,2009,Regular,3,SD,Antonio Gates,TE,5,7,0,0,0,36,64,0,0,0,0,0,0,0,0,0,0,23,13,MIA,1,0,0.714285714286,0.0,12.8,0.0,11.4,5.0,8.0,0.0,0.0,0.0,17.0,80.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.5,0.0,0.634920634921,0.0,16.1,0.0,0.0,10.6
75,2009,Regular,3,CHI,Greg Olsen,TE,5,6,1,0,0,7,44,0,0,0,0,0,0,0,0,0,0,25,19,SEA,0,6,0.833333333333,0.24,8.8,0.0,15.4,2.0,6.0,0.0,0.0,0.0,5.0,24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,17.5,0.0,0.333333333334,0.0,10.8333333334,0.0,5.3,5.2
84,2009,Regular,4,CHI,Greg Olsen,TE,1,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,48,24,DET,1,6,0.142857142857,0.125,1.0,0.0,7.1,3.0,6.0,0.333333333333,0.0,0.0,5.66666666667,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,18.0,2.0,0.5,0.08,10.1555555556,0.0,0.0,6.25
