season_year,season_type,week,home_team,home_score,away_team,away_score,team,forced_fumble,fg_block,fumble_rec,fumble_rec_tds,kicking_rec_tds,kickret_tds,puntret_tds,puntret_tds,ints,int_tds,misc_tds,punt_block,safety,sack,xp_block
2016,Preseason,3,WAS,21,BUF,16,BUF,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0
2016,Regular,3,BUF,33,ARI,18,ARI,2,0,0,0,0,0,0,0,1,0,0,0,1,4.0,0
2016,Regular,3,NO,32,ATL,45,ATL,0,0,1,0,0,0,0,0,1,1,0,0,0,2.0,0
2016,Preseason,4,TB,13,WAS,20,WAS,1,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0
2016,Regular,4,SF,17,DAL,24,DAL,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0
2016,Preseason,4,CIN,10,IND,13,CIN,2,0,1,0,0,0,0,0,1,0,0,0,0,0.0,0
2016,Preseason,4,NYG,17,NE,9,NE,2,0,1,0,0,0,0,0,1,0,0,0,0,3.0,0
2016,Preseason,4,CIN,10,IND,13,IND,1,0,1,0,0,0,0,0,1,0,0,0,0,0.0,0
2016,Preseason,4,CAR,18,PIT,6,CAR,2,0,2,0,0,0,0,0,0,0,0,0,0,1.0,0
2016,Preseason,4,MIA,10,TEN,21,MIA,1,0,1,0,0,0,0,0,2,0,0,0,0,2.0,0
2016,Regular,4,ATL,48,CAR,33,CAR,0,0,0,0,0,0,0,0,1,1,0,0,0,3.0,0
2016,Regular,4,SD,34,NO,35,NO,2,0,2,0,0,0,0,0,1,0,0,0,0,3.0,0
2016,Preseason,4,TB,13,WAS,20,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0
2016,Preseason,4,MIA,10,TEN,21,TEN,1,0,1,0,0,0,0,0,1,0,0,0,0,2.0,0
2016,Preseason,4,ATL,17,JAC,15,JAC,0,0,1,0,0,0,0,0,2,0,0,0,0,0.0,0
2016,Regular,4,WAS,31,CLE,20,WAS,2,0,2,0,0,0,0,0,1,0,0,0,0,1.0,0
2016,Regular,4,NE,0,BUF,16,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0
2016,Regular,4,SF,17,DAL,24,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0
2016,Preseason,4,ARI,38,DEN,17,ARI,0,0,0,0,0,0,0,0,1,1,0,0,0,1.0,0
2016,Preseason,4,NO,14,BAL,23,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0
2016,Preseason,4,SD,21,SF,31,SD,0,0,0,0,0,0,0,0,2,0,0,0,0,1.0,0
2016,Regular,4,PIT,43,KC,14,KC,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0
2016,Regular,4,HOU,27,TEN,20,HOU,0,0,0,0,0,0,1,1,1,0,0,0,0,1.0,0
2016,Preseason,4,PHI,14,NYJ,6,PHI,1,0,0,0,0,0,1,1,1,1,0,0,0,1.0,0
2016,Regular,4,NE,0,BUF,16,BUF,2,0,1,0,0,0,0,0,0,0,0,0,0,3.0,0
2016,Regular,4,BAL,27,OAK,28,OAK,3,0,1,0,0,0,0,0,0,0,0,0,0,2.0,0
2016,Regular,4,CIN,22,MIA,7,MIA,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0
2016,Preseason,4,CLE,7,CHI,21,CHI,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0,0
2016,Preseason,4,MIN,27,UNK,25,UNK,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0
2016,Preseason,4,DAL,17,HOU,28,HOU,1,0,1,0,0,0,0,0,1,1,0,0,0,2.0,0
2016,Regular,4,PIT,43,KC,14,PIT,1,0,1,0,0,0,0,0,1,0,0,0,0,4.0,0
2016,Regular,4,ARI,13,LA,17,LA,2,0,2,0,0,0,0,0,3,0,0,0,0,3.0,0
2016,Regular,4,CHI,17,DET,14,DET,0,0,0,0,0,0,1,1,0,0,0,0,0,2.0,0
2016,Preseason,4,NO,14,BAL,23,BAL,2,0,1,1,0,0,0,0,0,0,0,0,0,3.0,0
2016,Preseason,4,MIN,27,UNK,25,MIN,0,0,3,0,0,1,0,0,1,0,0,0,0,4.0,0
