season_year,season_type,week,home_team,home_score,away_team,away_score,team,full_name,position,receiving_rec,receiving_tar,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yac,receiving_yds,fumbles_total,fumble_rec_tds,kicking_rec_tds,kickret_tds,puntret_tds,rushing_att,rushing_yds,rushing_tds,rushing_loss_yards,rushing_twoptm
2016,Preseason,1,KC,16,SEA,17,SEA,Tyler Lockett,WR,1,1,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,KC,16,SEA,17,SEA,Uzoma Nwachukwu,WR,3,5,0,0,0,2,36,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,NE,34,NO,22,NE,Aaron Dobson,WR,3,4,0,0,0,13,27,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,NE,34,NO,22,NE,Malcolm Mitchell,WR,4,5,0,0,0,9,55,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,NE,34,NO,22,NO,Brandin Cooks,WR,1,1,0,0,0,10,37,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,NE,34,NO,22,NO,Michael Thomas,WR,4,6,0,0,0,11,67,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,NE,34,NO,22,NO,Tommylee Lewis,WR,3,3,0,1,0,6,38,0,0,0,0,0,0,0,0,0,1
2016,Preseason,1,NE,34,NO,22,NO,Willie Snead,WR,1,1,0,0,0,20,22,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,NYG,10,MIA,27,MIA,Jakeem Grant,WR,4,5,0,0,0,32,68,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,NYG,10,MIA,27,MIA,Jarvis Landry,WR,1,1,0,0,0,-2,1,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,NYG,10,MIA,27,MIA,Kenny Stills,WR,1,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,NYG,10,MIA,27,MIA,Leonte Carroo,WR,3,3,0,0,0,2,18,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,NYG,10,MIA,27,MIA,Matt Hazel,WR,1,1,1,0,0,27,51,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,NYG,10,MIA,27,NYG,Dwayne Harris,WR,1,1,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,NYG,10,MIA,27,NYG,Geremy Davis,WR,2,3,0,0,0,6,21,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,NYG,10,MIA,27,NYG,Roger Lewis,WR,1,1,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,NYG,10,MIA,27,NYG,Sterling Shepard,WR,1,4,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,NYJ,17,JAC,13,JAC,Allen Hurns,WR,1,1,0,0,0,16,13,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,NYJ,17,JAC,13,JAC,Allen Robinson,WR,3,3,0,0,0,3,80,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,NYJ,17,JAC,13,JAC,Arrelious Benn,WR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,NYJ,17,JAC,13,JAC,Jamal Robinson,WR,2,4,0,0,0,3,28,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,NYJ,17,JAC,13,JAC,Marqise Lee,WR,4,4,0,0,0,11,49,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,NYJ,17,JAC,13,JAC,Neal Sterling,WR,3,3,0,0,0,5,32,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,NYJ,17,JAC,13,JAC,Shane Wynn,WR,1,2,0,0,0,6,27,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,NYJ,17,JAC,13,JAC,Tony Washington,WR,1,2,0,0,0,29,36,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,NYJ,17,JAC,13,NYJ,Brandon Marshall,WR,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,NYJ,17,JAC,13,NYJ,Charone Peake,WR,4,4,1,0,0,7,45,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,NYJ,17,JAC,13,NYJ,Jalin Marshall,WR,1,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,NYJ,17,JAC,13,NYJ,Jeremy Ross,WR,3,4,0,0,0,15,51,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,NYJ,17,JAC,13,NYJ,Quincy Enunwa,WR,2,3,0,0,0,31,69,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,NYJ,17,JAC,13,NYJ,Robby Anderson,WR,1,3,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,PHI,17,TB,9,PHI,Byron Marshall,WR,2,2,0,0,0,-1,8,0,0,0,0,0,5,6,0,0,0
2016,Preseason,1,PHI,17,TB,9,PHI,Cayleb Jones,WR,1,2,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,PHI,17,TB,9,PHI,Josh Huff,WR,2,2,0,0,0,7,8,1,0,0,0,0,0,0,0,0,0
2016,Preseason,1,PHI,17,TB,9,PHI,Paul Turner,WR,6,7,0,0,0,13,34,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,PHI,17,TB,9,PHI,Rueben Randle,WR,1,3,0,0,0,-1,3,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,PHI,17,TB,9,TB,Adam Humphries,WR,1,1,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,PHI,17,TB,9,TB,Bernard Reedy,WR,2,5,0,0,0,23,32,1,0,0,0,0,0,0,0,0,0
2016,Preseason,1,PHI,17,TB,9,TB,Freddie Martino,WR,1,3,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,PHI,17,TB,9,TB,Jonathan Krause,WR,1,5,0,0,0,11,6,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,PHI,17,TB,9,TB,Mike Evans,WR,1,2,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,PHI,17,TB,9,TB,Russell Shepard,WR,3,3,1,0,0,25,62,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,PHI,17,TB,9,TB,Vincent Jackson,WR,1,1,0,0,0,4,17,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,PIT,17,DET,30,DET,Andre Roberts,WR,3,5,1,0,0,25,57,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,PIT,17,DET,30,DET,Anquan Boldin,WR,1,1,0,0,0,24,30,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,PIT,17,DET,30,DET,Jace Billingsley,WR,3,4,1,0,0,27,33,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,PIT,17,DET,30,DET,Jeremy Kerley,WR,5,6,0,0,0,18,36,0,0,0,0,0,0,0,0,0,0
