season_year,season_type,week,team,full_name,position,receiving_rec,receiving_tar,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yac,receiving_yds,fumbles_total,fumble_rec_tds,kicking_rec_tds,puntret_tds,kickret_tds,rushing_att,rushing_yds,rushing_tds,rushing_loss_yards,rushing_twoptm,team_score,opp_score,opp_team,h/a,total_points,rec_percentage,score_percentage,yds_per_rec,yds_per_rush,DK points
2016,Regular,1,ATL,Jacob Tamme,TE,6,8,0,0,0,13,51,0,0,0,0,0,0,0,0,0,0,24,31,TB,1,0,0.75,0.0,8.5,,11.1
2016,Regular,1,TB,Austin Seferian-Jenkins,TE,1,1,1,0,0,0,30,0,0,0,0,0,0,0,0,0,0,31,24,ATL,0,6,1.0,0.193548387097,30.0,,10.0
2016,Regular,1,TB,Brandon Myers,TE,1,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,31,24,ATL,0,6,1.0,0.193548387097,4.0,,7.4
2016,Regular,1,TB,Cameron Brate,TE,3,4,0,0,0,16,30,0,0,0,0,0,0,0,0,0,0,31,24,ATL,0,0,0.75,0.0,10.0,,6.0
2016,Regular,1,BAL,Crockett Gillmore,TE,1,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,13,7,BUF,1,0,1.0,0.0,5.0,,1.5
2016,Regular,1,BAL,Dennis Pitta,TE,3,4,0,0,0,5,39,0,0,0,0,0,0,0,0,0,0,13,7,BUF,1,0,0.75,0.0,13.0,,6.9
2016,Regular,1,DAL,Geoff Swaim,TE,1,1,0,0,0,2,21,0,0,0,0,0,0,0,0,0,0,19,20,NYG,1,0,1.0,0.0,21.0,,3.1
2016,Regular,1,DAL,Jason Witten,TE,9,14,0,0,0,28,66,0,0,0,0,0,0,0,0,0,0,19,20,NYG,1,0,0.642857142857,0.0,7.33333333333,,15.6
2016,Regular,1,NYG,Larry Donnell,TE,1,2,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,20,19,DAL,0,6,0.5,0.3,15.0,,8.5
2016,Regular,1,NYG,Will Tye,TE,3,3,0,0,0,5,16,0,0,0,0,0,0,0,0,0,0,20,19,DAL,0,0,1.0,0.0,5.33333333333,,4.6
2016,Regular,1,CAR,Greg Olsen,TE,7,9,0,0,0,27,73,0,0,0,0,0,0,0,0,0,0,20,21,DEN,0,0,0.777777777778,0.0,10.4285714286,,14.3
2016,Regular,1,DEN,Virgil Green,TE,4,5,0,0,0,7,28,0,0,0,0,0,0,0,0,0,0,21,20,CAR,1,0,0.8,0.0,7.0,,6.8
2016,Regular,1,CHI,Zach Miller,TE,3,4,0,0,0,8,14,0,0,0,0,0,0,0,0,0,0,14,23,HOU,0,0,0.75,0.0,4.66666666667,,4.4
2016,Regular,1,HOU,C.J. Fiedorowicz,TE,1,2,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,23,14,CHI,1,0,0.5,0.0,6.0,,1.6
2016,Regular,1,HOU,Ryan Griffin,TE,2,2,0,0,0,2,17,0,0,0,0,0,0,0,0,0,0,23,14,CHI,1,0,1.0,0.0,8.5,,3.7
2016,Regular,1,HOU,Stephen Anderson,TE,3,3,0,0,0,10,25,0,0,0,0,0,0,0,0,0,0,23,14,CHI,1,0,1.0,0.0,8.33333333333,,5.5
2016,Regular,1,DET,Cole Wick,TE,1,1,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,39,35,IND,0,0,1.0,0.0,5.0,,1.5
2016,Regular,1,DET,Eric Ebron,TE,5,5,1,0,0,16,46,0,0,0,0,0,0,0,0,0,0,39,35,IND,0,6,1.0,0.153846153846,9.2,,15.6
2016,Regular,1,IND,Dwayne Allen,TE,4,6,1,1,1,15,53,0,0,0,0,0,0,0,0,0,0,35,39,DET,1,8,0.666666666667,0.228571428571,13.25,,17.3
2016,Regular,1,IND,Jack Doyle,TE,3,4,2,0,0,0,35,0,0,0,0,0,0,0,0,0,0,35,39,DET,1,12,0.75,0.342857142857,11.6666666667,,18.5
2016,Regular,1,GB,Jared Cook,TE,1,2,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,27,23,JAC,0,0,0.5,0.0,7.0,,1.7
2016,Regular,1,GB,Richard Rodgers,TE,1,3,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,27,23,JAC,0,0,0.333333333333,0.0,22.0,,3.2
2016,Regular,1,JAC,Julius Thomas,TE,5,5,1,0,0,16,64,0,0,0,0,0,0,0,0,0,0,23,27,GB,1,6,1.0,0.260869565217,12.8,,17.4
2016,Regular,1,JAC,Marcedes Lewis,TE,2,2,0,0,0,45,48,0,0,0,0,0,0,0,0,0,0,23,27,GB,1,0,1.0,0.0,24.0,,6.8
2016,Regular,1,KC,Demetrius Harris,TE,2,3,0,0,0,8,20,0,0,0,0,0,0,0,0,0,0,33,27,SD,1,0,0.666666666667,0.0,10.0,,4.0
2016,Regular,1,KC,Travis Kelce,TE,6,7,0,0,0,19,74,0,0,0,0,0,0,0,0,0,0,33,27,SD,1,0,0.857142857143,0.0,12.3333333333,,13.4
2016,Regular,1,SD,Antonio Gates,TE,3,4,0,0,0,9,20,0,0,0,0,0,0,0,0,0,0,27,33,KC,0,0,0.75,0.0,6.66666666667,,5.0
2016,Regular,1,SD,Hunter Henry,TE,1,2,0,0,0,12,20,0,0,0,0,0,0,0,0,0,0,27,33,KC,0,0,0.5,0.0,20.0,,3.0
