,player,salary,team,position,opp,ceiling,floor,proj_points
90,Cordarrelle Patterson,3500,MIN,WR,ARI,11.7612,2.7588,7.26
91,Terrelle Pryor,5600,CLE,WR,PIT,20.5025,8.9975,14.75
92,Andrew Hawkins,3100,CLE,WR,PIT,10.7602,3.9798,7.37
93,Sammie Coates,3900,PIT,WR,CLE,8.339,2.421,5.38
94,Eli Rogers,4300,PIT,WR,CLE,16.128,6.272,11.2
95,Antonio Brown,9500,PIT,WR,CLE,33.0616,15.5584,24.31
96,Larry Fitzgerald,7100,ARI,WR,MIN,22.1364,12.1836,17.16
97,Chester Rogers,3000,IND,WR,TEN,3.74,0,1.87
98,Andre Roberts,3000,DET,WR,JAC,3.92,0,1.96
99,Rishard Matthews,5100,TEN,WR,IND,17.9046,6.4554,12.18
100,Anquan Boldin,3800,DET,WR,JAC,14.0826,5.0774,9.58
101,Golden Tate,5300,DET,WR,JAC,20.9952,8.1648,14.58
102,Marvin Jones,5000,DET,WR,JAC,19.4688,5.4912,12.48
103,Tajae Sharpe,3200,TEN,WR,IND,13.5096,3.8104,8.66
104,Kendall Wright,4200,TEN,WR,IND,15.066,4.374,9.72
105,Phillip Dorsett,3300,IND,WR,TEN,11.907,2.793,7.35
106,Donte Moncrief,6100,IND,WR,TEN,19.7948,8.0852,13.94
107,T.Y. Hilton,7700,IND,WR,TEN,27.8276,10.2924,19.06
108,Harry Douglas,3000,TEN,WR,IND,4.2,0,2.1
109,player,salary,team,pos,opp,ceil,floor,fpts
