,player,salary,team,position,opp,ceiling,floor,proj_points
97,Albert Wilson,3300,KCC,WR,CAR,8.2008,4.0392,6.12
98,Chris Conley,3500,KCC,WR,CAR,9.617,6.683,8.15
99,Kenny Britt,4900,LAR,WR,NYJ,18.0978,7.9422,13.02
100,Tavon Austin,4100,LAR,WR,NYJ,18.3188,4.0212,11.17
101,Rashad Greene,3000,JAC,WR,HOU,3.44,0.56,2
102,Marqise Lee,3900,JAC,WR,HOU,13.825,3.675,8.75
103,Allen Hurns,4400,JAC,WR,HOU,15.6256,4.9344,10.28
104,Brian Quick,3700,LAR,WR,NYJ,13.7376,5.3424,9.54
105,Bradley Marquez,3000,LAR,WR,NYJ,,,1.64
106,Robby Anderson,3000,NYJ,WR,LAR,7.347,2.133,4.74
107,Jeremy Maclin,5600,KCC,WR,CAR,20.6568,6.5232,13.59
108,Jalin Marshall,3200,NYJ,WR,LAR,9.0558,2.1242,5.59
109,Quincy Enunwa,4700,NYJ,WR,LAR,16.1872,7.9728,12.08
110,Brandon Marshall,6900,NYJ,WR,LAR,21.8442,7.8758,14.86
111,player,salary,team,pos,opp,ceil,floor,fpts
