,player,salary,team,position,opp,ceiling,floor,proj_points
68,Aldrick Robinson,3000,ATL,WR,TBB,7.9605,0.7395,4.35
69,Mike Evans,8500,TBB,WR,ATL,25.636,18.564,22.1
70,Justin Hardy,3000,ATL,WR,TBB,7.6184,0.9416,4.28
71,Mohamed Sanu,4100,ATL,WR,TBB,15.3008,8.0592,11.68
72,Julio Jones,9600,ATL,WR,TBB,29.4958,12.9442,21.22
73,Adam Humphries,3100,TBB,WR,ATL,12.5629,5.7771,9.17
74,Russell Shepard,3400,TBB,WR,ATL,13.5143,4.6257,9.07
75,Cole Beasley,5300,DAL,WR,CLE,13.5752,5.5448,9.56
76,Terrance Williams,3700,DAL,WR,CLE,13.1493,3.3907,8.27
77,Dez Bryant,7400,DAL,WR,CLE,25.9632,10.0968,18.03
78,Cecil Shorts,3000,TBB,WR,ATL,8.02,0,4.01
79,Jordan Matthews,5700,PHI,WR,NYG,17.577,10.323,13.95
80,Nelson Agholor,3100,PHI,WR,NYG,9.8092,4.5108,7.16
81,Anquan Boldin,3600,DET,WR,MIN,13.0536,4.7064,8.88
82,Andre Roberts,3000,DET,WR,MIN,4.524,0.116,2.32
83,Golden Tate,4700,DET,WR,MIN,16.881,2.979,9.93
84,Marvin Jones,5600,DET,WR,MIN,20.7855,6.0345,13.41
85,Tyreek Hill,3400,KCC,WR,JAC,15.197,3.003,9.1
86,Stefon Diggs,5900,MIN,WR,DET,24.1962,8.7238,16.46
87,Adam Thielen,3800,MIN,WR,DET,12.4356,6.8444,9.64
88,Markus Wheaton,3200,PIT,WR,BAL,11.0622,1.2978,6.18
89,Sammie Coates,4300,PIT,WR,BAL,17.3436,5.9364,11.64
90,Antonio Brown,8900,PIT,WR,BAL,26.691,16.709,21.7
91,Cordarrelle Patterson,3300,MIN,WR,DET,25.0796,2.4804,13.78
92,Charles Johnson,3000,MIN,WR,DET,5.8936,2.5864,4.24
93,Albert Wilson,3000,KCC,WR,JAC,5.9094,2.1306,4.02
94,Chris Conley,3100,KCC,WR,JAC,10.8108,3.0492,6.93
95,Sterling Shepard,4600,NYG,WR,PHI,16.2,5.4,10.8
96,Victor Cruz,3800,NYG,WR,PHI,13.1904,5.1296,9.16
97,Odell Beckham,8800,NYG,WR,PHI,31.3308,7.3492,19.34
98,Josh Huff,3000,PHI,WR,NYG,9.0234,2.1166,5.57
99,Dorial Green-Beckham,3000,PHI,WR,NYG,9.9456,3.4944,6.72
100,Dwayne Harris,3000,NYG,WR,PHI,4.04,0,2.02
101,Allen Robinson,6900,JAC,WR,KCC,22.1236,9.0364,15.58
102,Jeremy Maclin,5900,KCC,WR,JAC,17.2777,7.5823,12.43
103,Arrelious Benn,3000,JAC,WR,KCC,6.84,0,3.42
104,Marqise Lee,3400,JAC,WR,KCC,15.484,4.116,9.8
105,Allen Hurns,4900,JAC,WR,KCC,18.6108,5.2492,11.93
106,player,salary,team,pos,opp,ceil,floor,fpts
